Price,Close,High,Low,Open,Volume,Prediccion_RNN,Precio_Real
2019-06-17,9131.7001953125,9205.099609375,9127.900390625,9199.599609375,118121500.0,9210.314,9131.7001953125
2019-06-18,9240.7001953125,9253.400390625,9060.400390625,9112.900390625,200005900.0,9142.444,9240.7001953125
2019-06-19,9231.2001953125,9263.2998046875,9192.400390625,9257.2998046875,180123200.0,9194.397,9231.2001953125
2019-06-20,9208.5,9292.7001953125,9204.7998046875,9272.099609375,208459300.0,9240.481,9208.5
2019-06-21,9227.2001953125,9297.7001953125,9209.2998046875,9228.2001953125,332946000.0,9199.444,9227.2001953125
2019-06-24,9192.5,9285.400390625,9173.2998046875,9230.0,121857400.0,9211.454,9192.5
2019-06-25,9159.7998046875,9173.2001953125,9120.7001953125,9165.2998046875,147680800.0,9203.207,9159.7998046875
2019-06-26,9157.400390625,9220.7001953125,9142.400390625,9162.2998046875,147062800.0,9166.957,9157.400390625
2019-06-27,9147.7998046875,9196.7998046875,9125.7998046875,9168.0,137193400.0,9148.517,9147.7998046875
2019-06-28,9198.7998046875,9216.2998046875,9118.5,9148.7998046875,152187200.0,9158.813,9198.7998046875
2019-07-01,9264.599609375,9314.2998046875,9217.5,9290.2998046875,150272600.0,9174.275,9264.599609375
2019-07-02,9281.5,9298.400390625,9223.400390625,9284.0,126162300.0,9233.137,9281.5
2019-07-03,9394.400390625,9407.5,9277.099609375,9290.5,135394000.0,9269.61,9394.400390625
2019-07-04,9401.0,9402.400390625,9355.2001953125,9371.0,159068600.0,9344.773,9401.0
2019-07-05,9335.0,9417.7998046875,9314.2001953125,9391.7001953125,165025000.0,9395.875,9335.0
2019-07-08,9284.7001953125,9340.2001953125,9268.900390625,9303.2998046875,141917000.0,9348.031,9284.7001953125
2019-07-09,9273.900390625,9273.900390625,9227.599609375,9258.7001953125,137948800.0,9297.539,9273.900390625
2019-07-10,9252.900390625,9299.599609375,9218.2998046875,9241.2998046875,140842800.0,9277.644,9252.900390625
2019-07-11,9280.2998046875,9300.400390625,9230.7998046875,9268.2001953125,110811300.0,9246.27,9280.2998046875
2019-07-12,9293.2001953125,9318.7001953125,9281.7001953125,9284.7001953125,117153600.0,9266.181,9293.2001953125
2019-07-15,9323.599609375,9355.2998046875,9280.099609375,9313.2001953125,115955100.0,9285.922,9323.599609375
2019-07-16,9377.099609375,9393.900390625,9316.2998046875,9326.0,125329000.0,9296.657,9377.099609375
2019-07-17,9284.2001953125,9363.099609375,9277.099609375,9359.099609375,141211100.0,9353.672,9284.2001953125
2019-07-18,9225.7001953125,9258.900390625,9180.5,9198.5,155709800.0,9306.815,9225.7001953125
2019-07-19,9170.5,9289.400390625,9152.900390625,9263.099609375,167669600.0,9234.836,9170.5
2019-07-22,9163.5,9194.7998046875,9137.400390625,9172.599609375,131493500.0,9193.112,9163.5
2019-07-23,9281.599609375,9299.0,9210.900390625,9224.099609375,157246300.0,9157.513,9281.599609375
2019-07-24,9329.7001953125,9341.2998046875,9269.5,9287.400390625,142611300.0,9232.148,9329.7001953125
2019-07-25,9289.900390625,9453.0,9232.0,9354.599609375,209481800.0,9312.309,9289.900390625
2019-07-26,9225.5,9290.2001953125,9204.900390625,9281.099609375,220713700.0,9291.786,9225.5
2019-07-29,9215.400390625,9257.400390625,9194.400390625,9201.2998046875,143203100.0,9234.559,9215.400390625
2019-07-30,8986.599609375,9216.400390625,8957.0,9216.400390625,229899500.0,9208.685,8986.599609375
2019-07-31,8971.0,9002.2998046875,8946.7001953125,8993.599609375,175707000.0,9045.468,8971.0
2019-08-01,9038.2001953125,9038.2001953125,8939.400390625,8947.599609375,148850400.0,8970.574,9038.2001953125
2019-08-02,8897.599609375,8997.0,8870.7001953125,8905.7001953125,236593200.0,9014.241,8897.599609375
2019-08-05,8777.2001953125,8864.5,8753.0,8824.0,182745400.0,8931.422,8777.2001953125
2019-08-06,8699.400390625,8820.900390625,8699.400390625,8774.599609375,177519500.0,8803.161,8699.400390625
2019-08-07,8746.099609375,8820.7001953125,8679.7998046875,8743.7001953125,175612000.0,8715.015,8746.099609375
2019-08-08,8869.0,8869.0,8790.5,8828.7998046875,161818100.0,8712.241,8869.0
2019-08-09,8757.7998046875,8825.599609375,8740.2998046875,8814.099609375,157538800.0,8813.415,8757.7998046875
2019-08-12,8676.400390625,8811.0,8675.7998046875,8796.900390625,141735900.0,8788.557,8676.400390625
2019-08-13,8695.099609375,8782.0,8610.2001953125,8628.2001953125,200738700.0,8698.615,8695.099609375
2019-08-14,8522.7001953125,8684.0,8497.900390625,8684.0,193781300.0,8689.74,8522.7001953125
2019-08-15,8519.0,8566.0,8409.2001953125,8551.099609375,186021200.0,8565.625,8519.0
2019-08-16,8670.400390625,8670.7001953125,8530.0,8530.0,307070400.0,8502.106,8670.400390625
2019-08-19,8733.2998046875,8774.400390625,8702.7001953125,8726.900390625,149328300.0,8629.541,8733.2998046875
2019-08-20,8618.2998046875,8727.599609375,8618.2998046875,8707.099609375,140086000.0,8706.172,8618.2998046875
2019-08-21,8701.5,8722.900390625,8644.2998046875,8645.900390625,109016400.0,8640.603,8701.5
2019-08-22,8716.400390625,8806.400390625,8675.599609375,8684.400390625,143420500.0,8668.925,8716.400390625
2019-08-23,8649.5,8782.599609375,8649.5,8764.400390625,133607400.0,8708.368,8649.5
2019-08-26,8679.2001953125,8702.0,8592.2001953125,8603.2998046875,86668500.0,8670.681,8679.2001953125
2019-08-27,8728.900390625,8767.900390625,8662.099609375,8682.2001953125,156833800.0,8687.165,8728.900390625
2019-08-28,8747.099609375,8753.7998046875,8678.900390625,8711.5,107404400.0,8716.491,8747.099609375
2019-08-29,8794.2998046875,8841.099609375,8725.900390625,8728.2001953125,142695300.0,8744.696,8794.2998046875
2019-08-30,8812.900390625,8858.7998046875,8797.099609375,8809.099609375,146442000.0,8787.829,8812.900390625
2019-09-02,8815.5,8858.400390625,8804.900390625,8810.7998046875,97947400.0,8799.842,8815.5
2019-09-03,8809.2001953125,8828.7998046875,8772.7998046875,8806.7998046875,158817500.0,8826.302,8809.2001953125
2019-09-04,8856.599609375,8904.5,8856.599609375,8872.2998046875,169520500.0,8821.611,8856.599609375
2019-09-05,8992.7001953125,8995.400390625,8908.099609375,8913.0,215605500.0,8838.904,8992.7001953125
2019-09-06,8990.099609375,9025.900390625,8958.599609375,8992.7998046875,168793800.0,8962.712,8990.099609375
2019-09-09,9010.599609375,9026.2998046875,8987.599609375,8997.7001953125,179010000.0,9000.431,9010.599609375
2019-09-10,9078.2001953125,9088.099609375,8947.7001953125,9007.400390625,265631700.0,9002.408,9078.2001953125
2019-09-11,9059.5,9124.0,9029.400390625,9109.2998046875,212019200.0,9078.107,9059.5
2019-09-12,9082.2998046875,9112.900390625,8994.2998046875,9078.099609375,231323500.0,9072.442,9082.2998046875
2019-09-13,9137.900390625,9153.5,9084.2998046875,9099.7998046875,226196600.0,9070.549,9137.900390625
2019-09-16,9052.0,9101.2001953125,9049.0,9099.900390625,174344900.0,9127.915,9052.0
2019-09-17,9004.2001953125,9052.099609375,8975.7998046875,9050.599609375,221426400.0,9090.243,9004.2001953125
